Species,Leaf Area,Length of Midrib,Length of Petiole,Left Veins,Right Veins,Leaf Width
PNS,32.53,10.41,0.02,14,13,4.17
PNS,33.28,10.4,0.02,12,11,4.85
PNS,42.53,10.45,0.02,15,14,5.89
PNS,31.19,9.38,0.02,11,11,5.19
PNS,30.45,9.37,0.01,13,13,5.21
PNS,46.33,11.44,0.02,14,14,5.14
PNS,40.2,10.42,0.02,13,13,5.2
PNS,36.16,9.37,0.02,16,16,5.12
PNS,32.45,9.36,0.02,12,12,4.19
PNS,32.1,9.35,0.01,11,11,5.2
PNS,51.1,11.43,0.02,17,17,5.88
PNS,49.06,10.41,0.02,15,15,6.25
PNS,45.84,11.44,0.02,15,15,5.78
PNS,39.23,10.4,0.02,16,16,5.2
PNS,28.15,8.34,0.02,13,13,4.18
PNS,45.78,10.39,0.03,11,11,5.21
PNS,48.64,10.32,0.02,12,12,5.23
PNS,41.48,10.41,0.02,13,13,5.2
PNS,42.07,9.39,0.03,13,13,5.22
PNS,35.01,9.34,0.02,13,13,4.19
PNS,31.27,8.33,0.02,10,10,5.2
PNS,43.03,9.37,0.02,13,13,5.21
PNS,57.63,12.5,0.02,15,15,6.25
PNS,54.19,12.49,0.02,13,13,5.2
PNS,47.67,11.45,0.02,14,14,6.24
PNS,72.66,13.52,0.02,12,11,7.28
PNS,47.43,11.34,0.02,12,13,5.22
PNS,31.46,9.36,0.02,12,10,4.18
PNS,32.83,9.36,0.02,11,10,4.19
PNS,46.15,11.46,0.02,13,12,6.1
PNS,40.65,10.42,0.02,15,16,5.21
PNS,28.77,8.33,0.02,12,12,4.82
PNS,47.02,12.47,0.03,14,13,6.08
PNS,46.53,10.41,0.03,18,18,6.26
PNS,30.09,10.42,0.02,16,17,4.19
PNS,53.81,10.54,0.02,20,17,5.23
PNS,38.16,10.41,0.02,14,13,4.19
PNS,45.74,10.41,0.03,16,16,5.23
PNS,33.29,8.32,0.03,12,11,5.21
PNS,33.68,10.41,0.02,18,19,4.56
PNS,37.87,8.33,0.02,10,11,5.22
PNS,39.47,10.41,0.02,18,18,5.87
PNS,35.57,9.39,0.02,13,14,5.2
PNS,36.32,10.4,0.02,13,14,5.2
PNS,25.18,7.29,0.02,16,18,5.2
PNS,39.16,10.4,0.02,12,13,4.18
PNS,40.7,9.38,0.02,19,18,5.2
PNS,32.72,8.33,0.03,11,11,5.22
PNS,29.62,8.32,0.02,13,12,5.2
PNS,30.2,8.3,0.02,16,13,5.21
PNS,39.236,9.35,0.02,11,11,5.23
PNS,34.194,9.36,0.02,11,10,5.2
PNS,54.685,13.5,0.02,16,17,6.33
PNS,45.913,10.41,0.02,15,12,6.24
PNS,32.856,9.38,0.02,11,12,5.2
PNS,64.241,10.47,0.03,15,15,6.24
PNS,44.426,10.4,0.02,12,11,5.58
PNS,34.106,8.35,0.02,11,11,5.2
PNS,33.236,9.36,0.02,11,9,5.2
PNS,36.991,8.34,0.02,11,10,5.12
PNS,42.479,10.43,0.02,14,16,5.12
PNS,31.143,7.31,0.03,12,12,5.21
PNS,35.886,9.36,0.02,10,11,5.22
PNS,32.645,8.34,0.02,13,13,5.21
PNS,33.496,9.39,0.02,14,13,5.2
PNS,44.326,10.42,0.02,14,13,5.43
PNS,44.951,10.44,0.02,13,16,5.2
PNS,50.482,11.46,0.02,15,16,6.25
